City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,al hufuf,25.3646,49.5653,32.19,31,40,1.54,SA,1698669507
251,horta,38.5333,-28.6333,18.8,68,20,3.09,PT,1698669508
252,wangqing,43.3218,129.7634,8.15,85,10,0.27,CN,1698669508
253,mandera,3.9366,41.867,27.6,60,100,1.89,KE,1698669147
254,antonio enes,-16.2325,39.9086,28.4,68,10,5.79,MZ,1698669508
255,las tablas,7.7667,-80.2833,26.49,80,97,1.64,PA,1698669508
256,kalulushi,-12.8378,28.0919,31.16,27,97,3.11,ZM,1698669509
257,bogale,16.2833,95.4,26.68,84,31,1.29,MM,1698669509
258,alo,7.4178,6.7371,31.56,63,100,1.84,NG,1698669509
259,francisco sa,-16.4758,-43.4883,29.08,34,66,1.1,BR,1698669510
260,ponta delgada,37.7333,-25.6667,18.4,72,20,2.06,PT,1698669105
261,la sierpe,2.8518,-77.6155,25.94,84,82,0.5,CO,1698669510
262,margate,51.3813,1.3862,13.82,88,100,0.89,GB,1698669510
263,lompoc,34.6391,-120.4579,13.8,51,0,4.63,US,1698668975
264,sanming,26.2486,117.6186,19.14,84,100,1.02,CN,1698669511
265,kudahuvadhoo,2.6708,72.8944,27.92,70,43,4.05,MV,1698669511
266,pavlovsk,50.4578,40.1081,12.19,64,9,6.05,RU,1698669511
267,riverton,40.5219,-111.9391,-0.05,68,0,2.24,US,1698669255
268,norilsk,69.3535,88.2027,-16.99,96,100,1.85,RU,1698669512
269,cedeira,43.6797,-8.0209,13.32,77,75,11.32,ES,1698669512
270,yuxia,34.0615,108.6291,14.34,57,0,3.33,CN,1698669513
271,ghat,24.9647,10.1728,32.62,12,0,2.29,LY,1698669513
272,champerico,14.3,-91.9167,25.3,85,100,3.2,GT,1698669513
273,saipan,15.1355,145.701,28.39,83,40,5.66,MP,1698669072
274,okhotsk,59.3833,143.3,-6.58,85,62,2.2,RU,1698669050
275,afaahiti,-17.75,-149.2833,22.93,84,38,7.52,PF,1698669122
276,sandnessjoen,66.0217,12.6316,1.06,75,40,3.09,NO,1698669087
277,remire-montjoly,4.9167,-52.2667,31.02,70,75,4.63,GF,1698669041
278,oranjestad,12.524,-70.027,29.95,81,20,1.03,AW,1698669514
279,badger,64.8,-147.5333,-3.07,86,75,0.0,US,1698669017
280,timimoun,29.2639,0.231,33.21,13,0,4.63,DZ,1698669515
281,lodwar,3.1191,35.5973,31.32,43,45,8.59,KE,1698669515
282,fuling,29.7022,107.3919,19.26,76,7,1.09,CN,1698669515
283,portland,45.5234,-122.6762,6.99,66,0,6.26,US,1698669515
284,rio grande,-32.035,-52.0986,21.06,79,100,4.19,BR,1698669112
285,jaral del progreso,20.3667,-101.0667,12.09,90,0,1.87,MX,1698669516
286,mahikeng,-25.8652,25.6442,14.99,58,100,8.23,ZA,1698669516
287,kuqa,41.7278,82.9364,16.22,28,1,1.98,CN,1698669516
288,al wafrah,28.6392,47.9306,30.98,20,93,0.96,KW,1698669517
289,afua,-0.1567,-50.3867,32.33,49,12,3.01,BR,1698669517
290,cockburn town,21.4612,-71.1419,28.93,76,32,4.33,TC,1698669002
291,page,36.9147,-111.4558,2.88,35,0,2.06,US,1698669282
292,iskushuban,10.2837,50.23,29.32,53,95,6.76,SO,1698669517
293,taoudenni,22.6783,-3.9836,38.85,7,14,3.17,ML,1698669130
294,tazovsky,67.4667,78.7,-16.21,94,26,1.2,RU,1698669099
295,kirkintilloch,55.9393,-4.1526,9.34,68,100,8.23,GB,1698669518
296,namtsy,62.7161,129.6658,-15.04,96,100,2.1,RU,1698669052
297,saint-philippe,-21.3585,55.7679,27.77,83,52,4.86,RE,1698669518
298,leh,34.1667,77.5833,5.86,24,0,1.56,IN,1698669519
299,mil'kovo,55.6078,37.7956,4.12,100,100,6.67,RU,1698669519
300,gutao,37.2025,112.1781,16.76,31,0,2.16,CN,1698669519
301,linhares,-19.3911,-40.0722,29.52,50,100,2.24,BR,1698669519
302,port hedland,-20.3167,118.5667,28.03,78,40,6.17,AU,1698669107
303,jasper,37.2001,-94.3502,-1.64,79,0,3.6,US,1698669496
304,parras de la fuente,25.4167,-102.1833,11.68,89,100,5.68,MX,1698669520
305,codrington,-38.2667,141.9667,8.56,78,47,8.32,AU,1698669084
306,akbarabad,29.2464,52.7793,25.79,31,100,1.78,IR,1698669520
307,chu,43.5983,73.7614,18.95,40,100,1.32,KZ,1698669520
308,cacoal,-11.4386,-61.4472,33.8,41,27,2.07,BR,1698669521
309,verkhniye kigi,55.4083,58.6044,-0.47,98,100,4.18,RU,1698669521
310,gokceada,40.2011,25.909,22.6,83,20,6.17,TR,1698669521
